"X_id","OBJECTID","STRUCTID","ADDRESS","STREETNAME","CROSSSTREET1","CROSSSTREET2","DBH_TRUNK","WARD","BOTANICAL_NAME","COMMON_NAME","geometry"
20,30538,6440,1406,"KCXGyGBZ St","hHsGHHtv St","tpwhvHQj St",86.8,9,"Acer saccharinum","Silver Maple","POINT (-79.4775521236705 43.7527113007847)"
21,56219,95749,4793,"KWFOmOKE St","azDZOoST St","tBUsgVHZ St",37.9,7,"Acer saccharinum","Silver Maple","POINT (-79.3996723481687 43.8613378914539)"
22,94517,61929,2980,"jNNHWipw St","wFBUSsIH St","oyDxGHEj St",15.1,9,"Betula papyrifera","White Birch","POINT (-79.4343701485777 43.662101648422)"
23,7989,11621,81,"ciBvPQnE St","ftamsbre St","uyCljgqc St",24,10,"Picea pungens","Silver Maple","POINT (-79.5354405961698 43.6773925517453)"
24,13536,82625,1350,"yrGGVFYo St","nryMHeQD St","wdyEEAsC St",6.2,19,"Picea pungens","White Birch","POINT (-79.5168708777055 43.855167529406)"
25,90077,70274,674,"MUEJyjwe St","rOOPFGhE St","EXYYrFOV St",80.3,7,"Betula papyrifera","White Birch","POINT (-79.4958913662005 43.6964234265266)"
26,6216,57709,4669,"ErBqUHig St","pxPdAfHp St","cWyOdBMS St",20.7,9,"Picea pungens","White Birch","POINT (-79.4335228216369 43.6440864849137)"
27,83519,743,3327,"XptzUSGz St","FVNpSUrn St","lNKqWTph St",45.4,3,"Acer saccharinum","White Birch","POINT (-79.561637376016 43.8463292170083)"
28,29394,39798,4527,"wwVoUBUx St","EDOJLUwY St","KtvesqXI St",91.5,12,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.5354862347245 43.790549761476)"
29,53241,17890,1102,"bjAanXnd St","DHDbsgaY St","oDvTErms St",10.3,14,"Picea pungens","White Birch","POINT (-79.4071443826891 43.7618481689598)"
30,28825,11683,4232,"mlRkctDT St","OAMjAXfY St","EgRJwGns St",50.7,7,"Acer saccharinum","White Birch","POINT (-79.4035370097263 43.7509710059734)"
31,41,44850,1158,"hBKgvZJn St","XEsbQsrI St","yAmmrRAF St",94.6,1,"Betula papyrifera","Silver Maple","POINT (-79.4638062089914 43.7167030108394)"
32,14426,73864,2202,"BgdHCCJM St","fIoVBfrX St","EofjASTa St",23.9,21,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.3651321463985 43.7921539996983)"
33,72820,76393,3252,"pJyZUarC St","ovvKYqHN St","NTjzakrt St",42,2,"Acer saccharinum","Colorado Blue Spruce","POINT (-79.4448257704265 43.7679099630099)"
34,51656,74868,2550,"EwxUZULm St","XRoTqbvV St","NNbYFXml St",50.8,19,"Betula papyrifera","Silver Maple","POINT (-79.3618850053521 43.6845515948953)"
35,94038,1873,2196,"ibKmbIcT St","YHxPLVAc St","FWnjzOZX St",46.9,22,"Betula papyrifera","Silver Maple","POINT (-79.5493498189608 43.6654260465875)"
36,58527,55970,664,"ttOPSYcY St","ejZnENcf St","lrtEjkuA St",57.6,11,"Acer saccharinum","White Birch","POINT (-79.5428416060051 43.8138525644317)"
37,77009,29127,2391,"qJyhxbry St","FHKHvuAX St","IyBxkHXj St",27.2,11,"Acer saccharinum","Silver Maple","POINT (-79.5858378764009 43.6668158629444)"
38,43042,23053,1146,"BJrgonMM St","gMQmNico St","RadyHgGg St",21.5,24,"Picea pungens","Colorado Blue Spruce","POINT (-79.4216441521188 43.8051732884487)"
39,77837,20876,3076,"ODEdZOba St","QmPgEDxU St","svttVYum St",9.2,15,"Betula papyrifera","White Birch","POINT (-79.5905713135609 43.8017283492256)"
40,6134,38288,4849,"CWCUdGHP St","qaFaTVmr St","nmfmBZtN St",13.3,14,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.5121416787151 43.7571790636051)"
41,33523,53510,4963,"TKrQRjcG St","OoafcJxG St","xbeoXQci St",36.3,13,"Acer saccharinum","Silver Maple","POINT (-79.364015558362 43.8976761264959)"
42,21812,64593,4432,"mVGquwqX St","LmoTOyUi St","cdETLquz St",56.5,5,"Picea pungens","White Birch","POINT (-79.5370922534028 43.6781157936901)"
43,39895,41311,2386,"uQRkDbkl St","YWgvcQQh St","YuTQmYuV St",50.1,16,"Acer saccharinum","White Birch","POINT (-79.5082321401685 43.6787487283815)"
44,9640,56107,3828,"mxzTxeQE St","ZofQiwEg St","KObqOVfn St",32.1,22,"Acer saccharinum","Colorado Blue Spruce","POINT (-79.5322087531444 43.7637112440541)"
45,85278,92872,2571,"IHmOyTGG St","VzyBOXbP St","wAuffqXM St",33.4,4,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.5878276671516 43.6358700599987)"
46,9326,32727,4665,"LuxJyMeG St","rRFuEVth St","PFBsHDeD St",69.7,4,"Betula papyrifera","White Birch","POINT (-79.4768771816744 43.6907016684767)"
47,26510,22510,4287,"CXPUtlzA St","mrGBwArL St","DKjFjeLq St",32.8,1,"Acer saccharinum","Silver Maple","POINT (-79.5129148707259 43.8859876948176)"
48,20960,85044,2624,"ZSNOgscJ St","xpFJsOcR St","etmzGGBx St",24.7,20,"Picea pungens","White Birch","POINT (-79.4035372402985 43.6275351447985)"
49,14403,37135,1274,"JIlxvWao St","BHKxowoM St","nYuwyAjJ St",11.2,4,"Betula papyrifera","Silver Maple","POINT (-79.3339561891044 43.8193676067982)"
50,64502,6877,1044,"mXfxjVVF St","DGakBZqC St","DwHZQppL St",7.2,23,"Picea pungens","Colorado Blue Spruce","POINT (-79.5664597602561 43.6529013474006)"
51,71503,59990,3041,"tzevPjmV St","jVxQUmjr St","gKWWJSnj St",90.1,18,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.4921926853945 43.8564853985794)"
52,45221,59280,4439,"rfYIAwxa St","MKIQrxqR St","qbrkELqA St",32,23,"Picea pungens","White Birch","POINT (-79.4047555184225 43.6530018616468)"
53,94335,10956,2946,"LsSZxcBv St","gTjUgiiW St","FUijtfNL St",57,3,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.3128992311889 43.7861515837489)"
54,92372,73289,2628,"GPLIEdsB St","doEJBMER St","qNRfgLzP St",87.3,25,"Picea pungens","White Birch","POINT (-79.585221060738 43.6331259689992)"
55,77585,27949,1462,"usjiRHRc St","uTGClkoY St","YZLvRaRY St",67.3,15,"Betula papyrifera","White Birch","POINT (-79.3112725520274 43.7612493384862)"
56,80686,30696,1477,"OWPWjAqF St","dBgJmAxX St","oSGuNOpI St",39.4,10,"Picea pungens","Colorado Blue Spruce","POINT (-79.4233663110761 43.7108579472406)"
57,70563,49724,4179,"QigrAubR St","ZqTJNNqL St","cHznfEMF St",95.2,4,"Acer saccharinum","White Birch","POINT (-79.4631422111764 43.652534928103)"
58,32606,55547,2496,"JgsitEAK St","cisMEzQL St","IHuxLrdx St",21.1,25,"Picea pungens","Silver Maple","POINT (-79.4799571784912 43.7747735057957)"
59,16152,77514,4415,"qQOHWtqc St","UnkomKVI St","NPtYnUcg St",11.3,15,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.4631603944581 43.769836809719)"
60,25559,970,291,"npKOgLQI St","eGGTydUn St","wmDrXyEh St",77.3,20,"Picea pungens","Silver Maple","POINT (-79.5630583290476 43.6434566824697)"
61,14215,52171,1058,"uoDgpYvW St","XYSEInpN St","eQqLhZKy St",9.3,11,"Picea pungens","Silver Maple","POINT (-79.4410070009762 43.8182969866553)"
62,14287,6668,1000,"AomWSPcO St","BcTycfDo St","TjPARHVD St",59.4,17,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.411539178039 43.867322601052)"
63,23194,34648,1364,"UQnCqvlH St","stQCmGBY St","nqHPQMvt St",76.3,16,"Picea pungens","Silver Maple","POINT (-79.3194684150163 43.6584330459358)"
64,90094,73284,3754,"XORJXmVh St","UpbPEmqI St","pFpsvffa St",25.3,19,"Acer saccharinum","White Birch","POINT (-79.5329828904243 43.6038386507658)"
65,34976,94401,1337,"ejKrlLIc St","fkYodnYt St","qwPKGHIm St",94.4,20,"Acer saccharinum","Colorado Blue Spruce","POINT (-79.3980666368967 43.8120537503157)"
66,14491,60400,1399,"DSfIiYsP St","mPdYwbRS St","LvDmsGMO St",88.9,11,"Betula papyrifera","White Birch","POINT (-79.3705038510961 43.6551002818625)"
67,82949,30247,4101,"nweynyIp St","qpcXzQaW St","CxHoGaBT St",55.1,15,"Picea pungens","Colorado Blue Spruce","POINT (-79.5431168663083 43.8145678173052)"
68,77584,18907,2021,"GNFmaomt St","cKSzACBJ St","ibeCBnxx St",89,23,"Acer saccharinum","White Birch","POINT (-79.5669922847068 43.8402496511582)"
69,40503,90117,534,"qpwbgJXs St","XEbeMFmV St","MGQiQmAH St",86.7,5,"Betula papyrifera","Silver Maple","POINT (-79.4043784422334 43.8686346262228)"
70,34724,92585,864,"NqfIYpTN St","vGxeAppv St","gxVdThnB St",94.8,2,"Picea pungens","White Birch","POINT (-79.5973855099175 43.8640884635504)"
71,86013,83957,1423,"MQITIxwX St","renFtPWK St","gnNvThCE St",78.4,6,"Picea pungens","White Birch","POINT (-79.4688395468052 43.7640480507864)"
72,17369,89306,2691,"fWRiCEdF St","UfruMdqP St","zSHHMJxx St",57.3,14,"Betula papyrifera","Silver Maple","POINT (-79.4722216672264 43.7918004506035)"
73,31542,91974,3567,"QCYfVlob St","KfOVMXqp St","ggEgjENT St",51.1,16,"Picea pungens","Colorado Blue Spruce","POINT (-79.4588572865818 43.7939350269968)"
74,59106,56571,3815,"YnWkzesu St","YykVzPIm St","UXqGImJI St",38.2,8,"Acer saccharinum","White Birch","POINT (-79.4304461279884 43.7257823378779)"
75,86605,69824,4342,"ceMctWJK St","vVmFaFGG St","bZFJZtDV St",65.5,15,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.4886559548322 43.8521820085123)"
76,40632,85839,2219,"ZRpDRUSj St","ztCfLXtr St","LJyXlrWi St",36.7,9,"Betula papyrifera","White Birch","POINT (-79.3970063540852 43.8713617071975)"
77,96111,64067,244,"iJcVUeVC St","DYitDSjW St","GVoSHaPq St",12.4,2,"Picea pungens","Silver Maple","POINT (-79.52635227961 43.8709247406339)"
78,43204,38269,2594,"fOjSusRw St","zxeCjgnY St","HWNEptNN St",99,10,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.3412542524748 43.6449595706305)"
79,37544,66149,1330,"vBDkNJEn St","LdIoPohb St","wmejZGEu St",21.4,25,"Acer saccharinum","Silver Maple","POINT (-79.4762162614847 43.6072082756553)"
80,99289,59494,3731,"gSilEFax St","HuYPofPQ St","gZYOmSIK St",97.1,25,"Picea pungens","White Birch","POINT (-79.3010471322341 43.7156357158674)"
81,84427,96065,3118,"JdjADgpz St","YDdaCnWa St","xvhYJibq St",47.6,25,"Picea pungens","Silver Maple","POINT (-79.4575228871079 43.7403744453564)"
82,76820,30504,3754,"ZxHxYIUq St","FFUSkcmq St","chgBEkpO St",61.3,13,"Picea pungens","Silver Maple","POINT (-79.3077940209303 43.6202185811708)"
83,82115,91822,1027,"SzDjOOWo St","JFFxyEBN St","JFPKkQRL St",66.4,23,"Picea pungens","Silver Maple","POINT (-79.5620857229689 43.7666094869142)"
84,44196,42842,2690,"DsgMvooM St","GWTkYcNA St","WWKwKylD St",92.4,14,"Betula papyrifera","Silver Maple","POINT (-79.4012625984615 43.7912553848)"
85,92337,58455,1574,"LuNjQjle St","ElYWFTQf St","rRGTMUNh St",47.8,1,"Betula papyrifera","White Birch","POINT (-79.4435125181451 43.6538527068915)"
86,44983,36517,4000,"ZDIrDylV St","iysosUqW St","CmVPeCZe St",46,17,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.4684205773054 43.710166464746)"
87,91438,70360,1717,"HbjYbVnN St","UZCFDcnO St","TpmJzoAP St",17.5,20,"Betula papyrifera","White Birch","POINT (-79.4777617628919 43.7969437901396)"
88,36717,39739,331,"suEksino St","ATojacyQ St","CIfGwtDm St",72.4,14,"Acer saccharinum","Colorado Blue Spruce","POINT (-79.3066448299447 43.8216195359826)"
89,28078,62025,127,"TSZCjxmI St","ZnAjphst St","XbusqJcx St",41.1,10,"Picea pungens","White Birch","POINT (-79.5502018686151 43.653902895283)"
90,69369,90897,716,"CawvEUAy St","RQTDilfw St","aBlGVfxD St",8.7,3,"Picea pungens","Colorado Blue Spruce","POINT (-79.3835080047138 43.8434878173517)"
91,91564,54222,402,"rADZVrEk St","ZjbTyqsE St","PSMprUiP St",78.9,1,"Picea pungens","Silver Maple","POINT (-79.3683757858351 43.6531997671118)"
92,43406,8561,2590,"BdRqmjgd St","yoRjRQTg St","vzAsXGRG St",57.5,23,"Betula papyrifera","Silver Maple","POINT (-79.5221630093641 43.8622287892737)"
93,41488,64765,1927,"NBZrXkZX St","nTyuinTh St","SvsWErcp St",58.5,20,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.5399740042398 43.8393323412631)"
94,47485,46600,1805,"RBheHShh St","gzToWVIa St","tvnaBWPa St",80.1,24,"Picea pungens","White Birch","POINT (-79.3752123289043 43.755879016174)"
95,63528,25356,3533,"TSTvnHRM St","cjRZIIap St","IoJsKXne St",25.1,21,"Betula papyrifera","White Birch","POINT (-79.5416214588564 43.6750871686498)"
96,14536,24056,4362,"IyFDmGAs St","jhWhUYVE St","HnoCajGd St",83.5,15,"Acer saccharinum","White Birch","POINT (-79.432017479185 43.7318295425968)"
97,83069,14130,1261,"RZdFEtaZ St","rPnMZuJn St","fFtthxrN St",13.7,23,"Picea pungens","Colorado Blue Spruce","POINT (-79.4727358584292 43.8513348777778)"
98,51465,90291,4789,"mIBeJKxI St","bzFesQhi St","hQciAPrQ St",47.9,12,"Betula papyrifera","White Birch","POINT (-79.4775755566079 43.8004360108404)"
99,26503,36997,2433,"NeIhKbRd St","wnsVjZQM St","DYEmjNiK St",37,13,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.4107877318282 43.715188843431)"
100,88299,24247,4153,"dOMueZnC St","XNGDVPtN St","gaxarTOx St",98.3,17,"Acer saccharinum","White Birch","POINT (-79.5414718133863 43.8615063454956)"
101,32953,99132,3079,"ggoULhXd St","dLdmRHvw St","HnwIUOZX St",92.3,23,"Picea pungens","White Birch","POINT (-79.3132046396611 43.6593512720428)"
102,413,55663,163,"mHbGeKbs St","kZKGfNtv St","uTSrRFLF St",84,18,"Picea pungens","White Birch","POINT (-79.5663814254338 43.8396337412298)"
103,10762,92138,94,"djZxHVdg St","UhaiSDuZ St","owKyAiHP St",30.4,17,"Acer saccharinum","White Birch","POINT (-79.4365049850894 43.7150246033911)"
104,48182,17161,3409,"QrwuPcdq St","czzWBHZe St","XKJNfjgw St",99.4,6,"Acer saccharinum","Silver Maple","POINT (-79.4183900923701 43.7122004050761)"
105,30571,13073,1089,"BdNjKJuY St","qfUKyfZT St","CfUaqBhM St",65.5,11,"Picea pungens","Silver Maple","POINT (-79.5312768852804 43.715742529952)"
106,42521,17770,4668,"WecggHPn St","HyRFVgcH St","cHBtcPvT St",25.8,16,"Picea pungens","Silver Maple","POINT (-79.5204537743935 43.6168006326538)"
107,74522,67941,954,"ghwfmIno St","dFwLMMQm St","ubQqqzqM St",68.3,8,"Acer saccharinum","Silver Maple","POINT (-79.3284767451696 43.6746885138098)"
108,14745,26557,2486,"KVdZfONo St","ZBGTedfH St","vspZEUoU St",8,16,"Picea pungens","White Birch","POINT (-79.578026070469 43.7592900746269)"
109,25946,61024,3202,"cIyZILkF St","FLFRYSMK St","BStfurfw St",53.2,5,"Acer saccharinum","Silver Maple","POINT (-79.4735659261933 43.6368132868782)"
110,80340,13596,4901,"HVhBHNlW St","nsOFYbip St","BVshqCuY St",48.9,1,"Picea pungens","Colorado Blue Spruce","POINT (-79.5749725622823 43.8721740574343)"
111,43928,21727,1651,"FTabvIVV St","LoqhgqzG St","WhYcvXlx St",99.2,20,"Acer saccharinum","White Birch","POINT (-79.3498201325536 43.6041041184217)"
112,6601,61198,4854,"XBvnyuzT St","TOBctPas St","HqmwiBnY St",7,12,"Betula papyrifera","Silver Maple","POINT (-79.4936740363948 43.8639615917811)"
113,57701,24799,750,"SoHamKiX St","xcIzzovH St","kikIoIUA St",58,3,"Acer saccharinum","Colorado Blue Spruce","POINT (-79.3882153580897 43.7792670399649)"
114,53518,72029,1095,"uPdBddwj St","VqtXYByX St","wSJzkMBI St",14.5,18,"Picea pungens","Colorado Blue Spruce","POINT (-79.3221279050224 43.6879503767937)"
115,72326,75273,4130,"dInPjGZE St","OZdbHzYW St","bBZlPBDe St",38.8,14,"Betula papyrifera","Silver Maple","POINT (-79.4803582098102 43.7558101727394)"
116,52353,55886,2750,"PGTYBWuL St","JUxITDOQ St","BuXuBJXr St",11.6,14,"Picea pungens","Silver Maple","POINT (-79.5613583660684 43.6266746174078)"
117,66154,83013,4846,"CQOYSiuV St","taCFsnMY St","IKrUoEOA St",79.6,8,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.4148532474646 43.7104823325062)"
118,47802,39907,4388,"bRrITjxL St","dUELmPrW St","rnytnijR St",29.1,20,"Acer saccharinum","Colorado Blue Spruce","POINT (-79.4184465848608 43.8931943017757)"
119,31517,60224,2412,"jEkwqJDc St","hANqljVB St","NtKyXwoe St",59.3,5,"Picea pungens","Colorado Blue Spruce","POINT (-79.3317475065589 43.6563931344775)"
120,66075,2873,3260,"ZqejLQax St","dKRLzWCG St","JoKeQYMx St",78.2,23,"Betula papyrifera","Silver Maple","POINT (-79.5340018383693 43.8573453913443)"
121,32263,11181,2963,"MOeDBmfn St","myydKTCy St","XnGdDOwG St",57.3,20,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.5278997909976 43.631367339124)"
122,95989,91090,4705,"NpqJBRaz St","FEccvynA St","lNhkCCAT St",24.4,9,"Picea pungens","Colorado Blue Spruce","POINT (-79.5903538779821 43.6632015272742)"
123,69161,70827,733,"VVqrCXPQ St","duIzLubh St","rLnAkPnY St",11.8,16,"Picea pungens","Colorado Blue Spruce","POINT (-79.5357351212995 43.6393394672545)"
124,81118,84111,1556,"nAlGhCfG St","bqWCBRff St","qEbnCLWO St",12.7,15,"Betula papyrifera","Silver Maple","POINT (-79.5336959719658 43.7360522773815)"
125,56157,41237,342,"ClpneYBM St","VCCiCQdt St","xvOfHXBR St",42.8,11,"Acer saccharinum","Colorado Blue Spruce","POINT (-79.4087838238571 43.6029099325417)"
126,19392,91497,3087,"WjrInWNV St","JcBkXrjY St","gVncqPlb St",55.6,3,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.5128735858016 43.7256717975484)"
127,46137,28528,4402,"qxRqhKqm St","sVIHZNtl St","rYvVQyLw St",34.2,7,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.3175269089173 43.600665914407)"
128,67747,85565,1091,"hLNUplwA St","DgtuyLLz St","oXyhbNqp St",73.2,21,"Acer saccharinum","Colorado Blue Spruce","POINT (-79.4503208789509 43.7740650856402)"
129,2286,41277,2584,"JgWPrNKB St","XeAeBZuY St","rWQwdRiH St",85.4,5,"Picea pungens","Colorado Blue Spruce","POINT (-79.4925337239401 43.7546019649832)"
130,59970,46999,1470,"CcQJsxEf St","AIcBHbVT St","nYRWFdmJ St",91.9,2,"Picea pungens","White Birch","POINT (-79.4242424816824 43.8446202927269)"
131,84298,39196,1860,"UIriablt St","NbWeWoiJ St","DZQkrbQJ St",48.2,25,"Picea pungens","Silver Maple","POINT (-79.4361256589182 43.6826688134577)"
132,54661,81028,2849,"xuqHlhjJ St","TssEHpYh St","ekKQfTnC St",27.1,18,"Picea pungens","Colorado Blue Spruce","POINT (-79.3803722069133 43.6665404574247)"
133,32281,71581,3249,"GdprkuiH St","AjjJdEoy St","tylTXwJR St",93.8,11,"Picea pungens","Colorado Blue Spruce","POINT (-79.4392661318649 43.7594821401406)"
134,64085,61911,885,"bOFBdnun St","EkPKFnYB St","UDnSxyfI St",75.1,4,"Acer saccharinum","Silver Maple","POINT (-79.4991369442316 43.7440632677171)"
135,7826,9042,309,"OmBfygOR St","KdTEtIyI St","PYGcTbxR St",89.3,9,"Acer saccharinum","Colorado Blue Spruce","POINT (-79.4772054804955 43.8135858299909)"
136,80287,6145,3960,"tLmTxzZf St","BJEytgbG St","DxItgtAV St",70.4,1,"Picea pungens","Silver Maple","POINT (-79.3227208854165 43.6791043064557)"
137,89799,24008,607,"TTxgzRgu St","IMndGQXC St","vOUoVflz St",58.7,3,"Betula papyrifera","Silver Maple","POINT (-79.4958008624613 43.865052500111)"
138,25449,90638,1211,"dpoBNOjD St","hvosnTkg St","zdIYNclH St",26.9,5,"Picea pungens","White Birch","POINT (-79.4046555383829 43.8498890048591)"
139,63405,56511,1094,"IaTZopLG St","iYrvSTHD St","CrZmeffE St",76.2,6,"Betula papyrifera","White Birch","POINT (-79.445488605462 43.6452984847827)"
140,76223,69695,3448,"pFjUwCzp St","iEhZrJIm St","blnlSqef St",64.7,14,"Picea pungens","White Birch","POINT (-79.536594729824 43.886415265128)"
141,64616,44198,903,"ORhEwSen St","hPQjmltM St","rFlmeecR St",79.1,23,"Acer saccharinum","White Birch","POINT (-79.4413168240571 43.7127659525489)"
142,27455,30699,3751,"NuIvvhzi St","pGHHJtOd St","zVUJVdep St",21.9,4,"Acer saccharinum","White Birch","POINT (-79.4508804575307 43.6802490231814)"
143,54740,78373,1468,"HlcyDHbj St","iaMXejtr St","rEZNabLN St",72.7,4,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.5783742183354 43.7983210076578)"
144,78173,70787,1855,"TSZuzxEB St","kpuhbTfs St","vpRCgHuX St",38.2,18,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.4703726066742 43.6987240501679)"
145,20193,77923,316,"iCyPOZKL St","IdmRCnEg St","CgvSlyUX St",76.8,13,"Acer saccharinum","White Birch","POINT (-79.4821674841223 43.6894693322247)"
146,66701,28283,1334,"bTuMTzHK St","hCJshXFU St","mROvZhKH St",60,1,"Betula papyrifera","Silver Maple","POINT (-79.3342603214318 43.8084072022932)"
147,97201,77821,4607,"bVBWDusP St","akCxjpCk St","jCUBVnvF St",21.9,13,"Acer saccharinum","Colorado Blue Spruce","POINT (-79.5933325412916 43.7897306795232)"
148,22467,68739,149,"jFAtmvAC St","fhaZqbzq St","wTMPpvjY St",95.1,12,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.5321244960884 43.8816749293823)"
149,95362,82694,4436,"RUgXDZuR St","BqSlNnMn St","oAmqOfaX St",45.5,3,"Picea pungens","Silver Maple","POINT (-79.4757966424571 43.8534048057394)"
150,63167,90831,261,"uJMstTeZ St","FojFezkT St","NXToPkWU St",51.6,20,"Picea pungens","Colorado Blue Spruce","POINT (-79.4173081630142 43.8148767603561)"
151,79225,5087,3167,"mLmqFOBf St","ybCifWUn St","obGViXek St",53.2,8,"Betula papyrifera","White Birch","POINT (-79.5407369249267 43.8044221170247)"
152,63658,95123,4656,"zreRhBGa St","SYMhWkqo St","rZDqkvgi St",41.6,20,"Picea pungens","White Birch","POINT (-79.4821999490494 43.7754265820608)"
153,49862,74851,2465,"tFyxwnBW St","KCTAizjC St","QXcQSaxg St",63.6,1,"Acer saccharinum","Silver Maple","POINT (-79.3819012212567 43.8243310279446)"
154,84032,1936,2058,"HWcmnvPc St","xBTuWXBt St","gaXbYLOp St",80.5,12,"Picea pungens","Colorado Blue Spruce","POINT (-79.4108042032458 43.6382506875787)"
155,79331,14987,271,"KoecIvyz St","vXnLrgIU St","flIldBBg St",65.2,11,"Acer saccharinum","Colorado Blue Spruce","POINT (-79.5149358133087 43.6156330936123)"
156,84955,12492,1272,"BHkFBAQf St","wLMIwZZK St","UKtIRrmW St",45.6,13,"Picea pungens","White Birch","POINT (-79.3301468263147 43.6007698507048)"
157,51491,61222,1757,"wMttEBDe St","lodXKJWM St","yksimHop St",53.3,12,"Picea pungens","White Birch","POINT (-79.3553073137533 43.8971421822906)"
158,15703,85854,373,"biIDiAIf St","PFHlXHJl St","EuJkyDPZ St",7.6,9,"Picea pungens","Silver Maple","POINT (-79.3614566152217 43.6208445193479)"
159,6623,22549,2430,"CDRGFPsl St","ZvdonkKL St","twjAFWnh St",42.2,15,"Picea pungens","White Birch","POINT (-79.4556384454248 43.6026698448695)"
